Code,Name,Model,Size,RACKNO,Sale_rate,GST_rate,Brand_name,Lingam_stock,Kumari_stock
"220273380","RING, ADAPTER, SR20100L/125L","","","",45392,18,"ELGI ROCD SPARES",0,0
"220273400","FAN; 24\"; 16S","","",null,4492,18,"ELGI ROCD SPARES",0,0
"220274060","RING, ADAPTER, 25S","","",null,46506,18,"ELGI ROCD SPARES",0,0
"220310080","SEAL; SHAFT; 10S","","","",8243,18,"ELGI ROCD SPARES",0,0
"220310090","SHAFT; I/P; 10S; FINAL OPERNS","","","",5883,18,"ELGI ROCD SPARES",0,0
"220310110","TUBE; OIL; SEAL; 3/8\"; 12S","","",null,1395,18,"ELGI ROCD SPARES",0,0
"220310120","TUBE; I/L; FILTER; 12S","","",null,1909,18,"ELGI ROCD SPARES",0,0
"220310130","TUBE; GEAR SPRAY; 3/8\"; 12S","","",null,2299,18,"ELGI ROCD SPARES",0,0
"220310160","SEAL, SHAFT, 12S","12S AIREND","",null,7713,5,"ELGI ROCD SPARES",0,0
"220310180","TUBE; GEAR; 1/2\"","","",null,2263,18,"ELGI ROCD SPARES",0,0
"220310210","MANIFOLD; 20S","","","",1717,18,"ELGI ROCD SPARES",0,0
"220310220","TUBE; GEAR SEAL; 20S","","",null,1034,18,"ELGI ROCD SPARES",0,0
"220310230","TUBE; GEAR; OIL; 20S","","",null,2153,18,"ELGI ROCD SPARES",0,0
"220310240","TUBE; I/L BRG; FE.; 20S","","",null,2724,18,"ELGI ROCD SPARES",0,0
"220310250","TUBE; I/L FILTER; 3/4\"X1.65; 2","","",null,3470,18,"ELGI ROCD SPARES",0,0
"220310319","OSV KIT 1\" NPT","","","",1742,18,"ELGI ROCD SPARES",0,0
"220310329","KIT,VALVE,OIL STOP VALVE11/2\"N","","","",3068,18,"ELGI ROCD SPARES",0,0
"220310800","ELEMENT, THERM VALVE 125 DEG","","","I78/E",15207,18,"ELGI ROCD SPARES",0,3
"220310830","HSG THERM VALVE 1 1/2\"NPT M/C","","",null,2446,18,"ELGI ROCD SPARES",0,0
"220311020","VALVE ASSY, DIS CHECK, 1 1/2\"","","","",3401,18,"ELGI ROCD SPARES",0,0
"220311029","DCV KIT E10","","","",852,18,"ELGI ROCD SPARES",0,0
"220311140","GASKET MPV E20 DPSAC","","","",133,18,"ELGI ROCD SPARES",0,0
"220311190","ADAPTER; BFV; 6\"; DPSAC","","","",2819,18,"ELGI ROCD SPARES",0,0
"220311530","VALVE ASSY, DIS CHECK, 2S, 73N","","","",8600,18,"ELGI ROCD SPARES",0,0
"220311539","KIT;VALVE;DISCH.CHECK 21/2\"NPT","","","",3746,18,"ELGI ROCD SPARES",0,0
"220311830","ADAPTER; INLET; 1250 PTO","","",null,3395,18,"ELGI ROCD SPARES",0,0
"220312410","TUBE; O/L BRG; MA.; 20S","","",null,1115,18,"ELGI ROCD SPARES",0,0
"220312420","TUBE; O/L BRG; FE.; 20S","","",null,1447,18,"ELGI ROCD SPARES",0,0
"220313900","VALVE, TCV FLANGED TYPE 3\"","","","",75741,18,"ELGI ROCD SPARES",0,0
"220314370","NUT; BRG LOCK","","","",333,18,"ELGI ROCD SPARES",0,0
"220316299","BDV KIT; 3/4\"NPT","","","",1032,18,"ELGI ROCD SPARES",0,0
"220316340","PRECLEANER; 12S; 16S","","","",2809,18,"ELGI ROCD SPARES",0,0
"220317590","VALVE ASSY, PR REG, 1/4\"NPT","","","",8625,18,"ELGI ROCD SPARES",0,0
"220317599","KIT;VALVE;PRE REG.  1/4\" NPT","","","",1506,18,"ELGI ROCD SPARES",0,0
"220318000","SPACER; I/P SHAFT; ROTOR; 25S","","",null,2010,18,"ELGI ROCD SPARES",0,0
"220318010","RETAINER, GEAR","","",null,1526,18,"ELGI ROCD SPARES",0,0
"220318020","PLUNGER ASSY DCV E25","","","",4853,18,"ELGI ROCD SPARES",0,0
"220318050","SHAFT; DCV; 25S","","","",1338,18,"ELGI ROCD SPARES",0,0
"220318060","ORIFICE; 3/8\"X3/8\"FX0.375; 25S","","",null,279,18,"ELGI ROCD SPARES",0,0
"220318070","MANIFOLD; BRG; DDH20/DRX25","","","",1914,18,"ELGI ROCD SPARES",0,0
"220318350","GASKET; MPV; 90X152; 2S","","","",136,18,"ELGI ROCD SPARES",0,0
"220318520","RING I/P SHAFT DIST FRONT","","","",1956,18,"ELGI ROCD SPARES",0,0
"220318530","RING I/P SHAFT DIST REAR","","","",1653,18,"ELGI ROCD SPARES",0,0
"220318580","NOZZLE; GEAR; OIL","","","",546,18,"ELGI ROCD SPARES",0,0
"220318620","RETAINER; I/L BRG; FE.","","","",3240,18,"ELGI ROCD SPARES",0,0
"220318690","CAP; RETAINER","","",null,310,18,"ELGI ROCD SPARES",0,0
